dire_score,dire_team_id,dire_team_name,duration,first_blood_time,match_id,radiant_score,radiant_team_id,radiant_team_name,radiant_win
58,5039050,Team Kinguin,4780,6,3966752666,53,111474,Alliance,False
60,2163,Team Liquid,3477,117,4061952570,48,2586976,OG,False
49,2586976,OG,3921,109,4080778303,58,15,PSG.LGD,False
50,5,INVICTUS GAMING,4225,87,3962701540,54,5131954,ForTheDream,False
51,5039050,Team Kinguin,3791,272,3967062172,52,2586976,OG,True
45,5327206,Thunder Predator,3334,0,3965702859,55,67,paiN Gaming,False
45,39,Evil Geniuses,4916,416,3971583578,54,3,compLexity Gaming,False
47,3715574,SG e-sports team,3709,144,3967480317,50,3320810,Torus Gaming,False
40,2163,Team Liquid,3857,134,4078478649,53,39,Evil Geniuses,True
44,543897,Mineski,4912,128,4063266100,51,350190,Fnatic,False
56,15,PSG.LGD,3280,97,4062098446,35,2163,Team Liquid,False
42,4425117,Gambit Esports,3538,198,3960615221,47,5680524,Espada,True
46,67,paiN Gaming,3767,281,3965779077,43,5327206,Thunder Predator,True
43,3331948,LGD.Forever Young,3262,86,3961291740,45,5131954,ForTheDream,True
52,2586976,OG,2935,45,4078291886,36,15,PSG.LGD,False
38,5027210,VGJ Thunder,3035,111,4061662358,49,39,Evil Geniuses,True
29,5026801,,3592,197,3971470160,56,5051649,Immortals,True
41,1375614,Newbee,3322,263,4070746269,44,5229127,Winstrike,True
28,2626685,KEEN GAMING,2945,5,3961000985,56,5131954,ForTheDream,True
37,2586976,OG,3207,0,4074821374,47,39,Evil Geniuses,False
38,5,INVICTUS GAMING,3536,311,3961505531,46,2626685,KEEN GAMING,False
42,2163,Team Liquid,3031,15,4061660411,41,350190,Fnatic,False
35,3331948,LGD.Forever Young,3110,138,3962882047,49,5066616,Team Serenity,True
48,1375614,Newbee,4748,22,4066822873,36,1838315,Team Secret,False
47,5051765,Team Leviathan,3965,68,3967727113,36,5465317,TEAM Baidu,False
62,1883502,Virtus.pro,2566,107,4076114893,24,5026801,,False
44,5026801,,4678,145,3969775882,39,3,compLexity Gaming,False
51,5026801,,2848,88,4066615144,31,67,paiN Gaming,False
40,5027210,VGJ Thunder,3148,134,4065211218,41,2586976,OG,True
38,5229127,Winstrike,3489,258,3965525689,43,5680524,Espada,False
41,3715574,SG e-sports team,2993,354,3969556326,39,67,paiN Gaming,False
49,5039050,Team Kinguin,2908,182,3967271411,30,5059375,The Final Tribe,False
46,2163,Team Liquid,2529,91,4065211201,34,39,Evil Geniuses,False
35,4541043,Team Singularity,2867,184,3968700910,44,5725202,Wind and Rain,True
41,39,Evil Geniuses,3489,172,4072509593,37,1838315,Team Secret,False
31,2586976,OG,1995,91,4062010988,47,2163,Team Liquid,True
46,726228,Vici Gaming,3532,83,4074356696,32,1838315,Team Secret,False
39,1838315,Team Secret,2634,0,4063465788,38,67,paiN Gaming,True
44,5229127,Winstrike,2954,92,4066751467,34,2586976,OG,True
48,67,paiN Gaming,3254,103,4063131418,29,2108395,TNC Predator,False
34,5896332,Sterling Global Dragons,2764,146,3966088418,43,5896956,Battle Arena Elites,True
41,5,INVICTUS GAMING,2261,113,4065084843,36,2586976,OG,True
25,2586976,OG,2829,171,3973023989,52,5725202,Wind and Rain,True
35,5228654,VGJ Storm,3320,77,4076314248,40,1838315,Team Secret,True
38,5680524,Espada,3013,351,3963622811,38,5229127,Winstrike,False
31,3715574,SG e-sports team,2829,182,3969620539,45,67,paiN Gaming,True
45,1375614,Newbee,3253,213,4062016236,30,67,paiN Gaming,False
50,15,PSG.LGD,2066,137,4080723031,25,2586976,OG,False
27,5870144,BlinkPool,3879,175,3972633082,47,5725202,Wind and Rain,True
46,5051649,Immortals,3113,172,3967872144,28,5051765,Team Leviathan,False
40,15,PSG.LGD,3489,119,4078412913,33,2586976,OG,True
41,5680524,Espada,4301,136,3963748898,35,5229127,Winstrike,True
35,67,paiN Gaming,2850,175,4063643412,38,5228654,VGJ Storm,True
30,3715574,SG e-sports team,3357,211,3960868114,44,3320810,Torus Gaming,True
35,5,INVICTUS GAMING,3483,0,4066988194,38,5229127,Winstrike,True
40,5466110,jsut a squad,2714,176,3967396766,32,5051765,Team Leviathan,False
44,5027210,VGJ Thunder,3052,138,4064706272,28,5,INVICTUS GAMING,False
44,1883502,Virtus.pro,2660,135,4061802430,29,5026801,,False
30,15,PSG.LGD,2810,0,4061721528,41,2586976,OG,True
38,67,paiN Gaming,3161,135,4065140946,35,1883502,Virtus.pro,False
42,3715574,SG e-sports team,3095,0,3960583608,29,67,paiN Gaming,False
25,2006913,Vega Squadron,1983,54,3961373359,46,2621843,Team. Spirit,True
45,15,PSG.LGD,2222,11,4078363316,26,2586976,OG,False
45,2626685,KEEN GAMING,2685,104,3961146514,28,2640025,iG.Vitality,False
34,1883502,Virtus.pro,2801,126,4076485641,38,39,Evil Geniuses,True
41,5528539,,3845,214,3961259644,29,46,Team Empire,False
41,2586976,OG,2597,0,3972835248,29,5725202,Wind and Rain,False
33,1375614,Newbee,3263,0,4066926568,37,1838315,Team Secret,False
40,2108395,TNC Predator,2972,82,4063477071,32,1883502,Virtus.pro,False
37,5465317,TEAM Baidu,2660,0,3969431394,35,5051649,Immortals,False
46,5228654,VGJ Storm,2816,0,4063131353,25,5026801,,False
24,3715574,SG e-sports team,3108,119,3965927990,45,5327206,Thunder Predator,True
