account_id,ancient_kills,buyback_count,camps_stacked,courier_kills,creeps_stacked,deaths,denies,gold_per_min,hero_damage,hero_healing,hero_id,hero_kills,is_roaming,kda,kills,lane,lane_efficiency_pct,lane_kills,lane_role,match_id,necronomicon_kills,neutral_kills,observer_kills,observer_uses,player_slot,roshan_kills,rune_pickups,sentry_kills,sentry_uses,teamfight_participation,total_gold,total_xp,tower_damage,tower_kills,win,xp_per_min,player_side
54580962,1,3,1,0,2,11,5,448,33145,2925,110,13,False,3,13,3,42,144,3,3966752666,0,52,4,18,0,0,4,10,5,0.7358491,35690,42223,185,1,0,530,radiant
86738694,46,1,6,0,13,6,6,563,37672,0,80,7,False,3,7,1,59,357,1,3966752666,0,209,0,1,1,1,18,0,0,0.509434,44852,42303,16532,7,0,531,radiant
152962063,0,3,2,0,3,9,4,631,77061,0,106,17,False,4,16,2,79,519,2,3966752666,0,100,1,0,2,0,22,1,0,0.8490566,50269,51305,1093,1,0,644,radiant
77490514,25,3,3,0,4,17,23,419,49296,270,104,13,False,2,12,3,66,134,3,3966752666,0,135,2,0,3,0,6,1,4,0.6981132,33380,36806,0,0,0,462,radiant
401792574,0,2,1,0,2,15,5,323,21578,1960,107,5,False,1,5,2,45,59,2,3966752666,0,6,1,6,4,0,11,3,5,0.5471698,25732,34336,0,0,0,431,radiant
57516313,0,4,0,0,0,8,3,454,35861,0,31,8,False,5,8,2,37,108,2,3966752666,0,9,5,18,128,0,7,2,23,0.8103448,36168,40869,164,0,1,513,dire
26356855,6,3,0,0,0,11,2,340,13168,4261,85,4,False,4,4,1,29,110,3,3966752666,0,29,2,0,129,1,10,2,1,0.86206895,27086,35133,374,0,1,441,dire
121769650,42,4,2,0,5,11,7,711,61865,272,25,13,False,3,13,2,74,485,2,3966752666,0,231,1,0,130,1,18,3,0,0.8103448,56643,50269,12333,4,1,631,dire
62533910,21,3,0,0,0,11,16,756,61459,2425,4,19,False,3,20,3,65,536,1,3966752666,0,197,3,0,131,3,4,0,0,0.7241379,60228,45967,6872,4,1,577,dire
92367063,3,5,0,0,0,12,5,484,34862,6403,120,12,False,3,12,1,89,300,3,3966752666,0,39,3,1,132,0,16,3,0,0.87931037,38558,48357,1315,0,1,607,dire
19672354,0,3,1,0,3,15,3,287,18024,6403,58,8,False,1,8,1,48,37,1,4061952570,0,6,7,11,0,0,1,8,26,0.45833334,16631,23875,1176,0,0,412,radiant
311360822,18,1,1,0,3,15,3,541,45049,0,114,10,False,2,10,1,54,292,1,4061952570,0,67,0,0,1,1,8,0,0,0.6666667,31350,38478,1010,2,0,664,radiant
26771994,0,1,0,0,0,10,1,304,17241,0,7,6,False,2,6,3,35,84,3,4061952570,0,7,0,4,2,1,5,2,12,0.5,17616,28569,274,0,0,493,radiant
88271237,0,2,1,0,1,9,18,499,46188,1161,45,13,False,3,13,3,61,262,3,4061952570,0,50,3,0,3,0,14,2,1,0.75,28917,34538,3453,4,0,596,radiant
94054712,3,3,0,0,0,11,11,483,35686,0,19,11,False,2,11,2,74,254,2,4061952570,0,14,1,0,4,1,8,0,0,0.6041667,27989,29902,1902,0,0,516,radiant
82262664,0,1,0,0,0,13,0,312,10777,9106,66,4,False,2,4,3,42,15,1,4061952570,0,63,3,4,128,0,6,5,8,0.55,18080,25555,535,0,1,441,dire
34505203,8,1,0,0,0,7,16,502,36095,3835,4,14,False,4,14,3,56,208,1,4061952570,0,74,2,0,129,0,5,4,0,0.56666666,29090,32567,2189,1,1,562,dire
105248644,21,3,1,0,2,9,27,612,45969,0,74,17,False,3,17,2,59,343,2,4061952570,0,71,3,0,130,0,15,4,0,0.53333336,35465,38652,4134,5,1,667,dire
101356886,0,1,0,0,0,11,2,338,34746,1077,88,6,False,3,6,1,50,32,3,4061952570,0,1,2,2,131,0,10,4,2,0.6333333,19587,30365,476,0,1,524,dire
72312627,42,1,0,0,0,10,6,497,45902,0,70,19,False,3,19,1,92,183,3,4061952570,0,74,0,0,132,0,13,2,0,0.55,28801,32220,2586,0,1,556,dire
125581247,44,2,0,0,0,8,10,565,30411,0,10,16,False,3,16,3,66,323,3,4080778303,0,137,0,0,0,0,9,0,0,0.51724136,36922,37576,2334,0,0,575,radiant
106863163,17,2,2,0,5,10,18,613,64875,0,4,22,False,3,22,2,95,330,2,4080778303,0,117,2,0,1,1,7,0,0,0.7413793,40059,44241,6763,4,0,677,radiant
94296097,1,2,1,0,1,13,2,271,14910,3466,58,6,True,2,6,3,42,21,3,4080778303,0,22,4,20,2,0,8,4,5,0.5689655,17709,24898,2515,2,0,381,radiant
101695162,0,3,0,0,0,11,5,412,32810,729,100,4,True,3,4,3,35,115,3,4080778303,0,7,2,1,3,0,14,1,3,0.67241377,26924,38164,78,0,0,584,radiant
94738847,11,3,0,0,0,7,7,532,54692,68,78,10,False,5,10,1,79,268,1,4080778303,0,89,2,0,4,0,10,3,0,0.70689654,34766,42281,5127,0,0,647,radiant
19672354,0,3,4,0,9,15,4,375,13124,11003,66,6,False,1,6,3,45,106,1,4080778303,0,42,5,10,128,0,9,4,17,0.46938777,24506,22545,865,1,1,345,dire
311360822,66,1,0,0,0,7,6,736,62372,0,12,12,False,4,12,3,64,411,1,4080778303,0,171,0,2,129,1,11,0,0,0.7346939,48097,37968,12773,6,1,581,dire
