minute,radiant_gold_adv,radiant_xp_adv,match_id
1,0,0,3966752666
2,218,399,3966752666
3,178,187,3966752666
4,-121,-253,3966752666
5,-141,-500,3966752666
6,-379,-672,3966752666
7,135,-440,3966752666
8,308,-992,3966752666
9,167,-1005,3966752666
10,66,-1041,3966752666
11,-152,-1450,3966752666
12,-1060,-1428,3966752666
13,-700,-2564,3966752666
14,-560,-2034,3966752666
15,-597,-2169,3966752666
16,-565,-2155,3966752666
17,352,-1607,3966752666
18,-60,-1572,3966752666
19,-438,-2500,3966752666
20,610,-1936,3966752666
21,-595,-3240,3966752666
22,-1145,-6210,3966752666
23,-445,-3088,3966752666
24,1392,977,3966752666
25,1404,296,3966752666
26,1474,-46,3966752666
27,2742,1994,3966752666
28,3636,6102,3966752666
29,4170,4930,3966752666
30,4690,6739,3966752666
31,4899,7056,3966752666
32,6012,5666,3966752666
33,5669,3335,3966752666
34,3858,955,3966752666
35,4749,6146,3966752666
36,1721,-211,3966752666
37,-2824,-1362,3966752666
38,-2569,-2233,3966752666
39,-3927,-3275,3966752666
40,-3929,-3541,3966752666
41,-7286,-11176,3966752666
42,-8211,-7425,3966752666
43,-7478,-8250,3966752666
44,-9030,-8216,3966752666
45,-4973,-1638,3966752666
46,-6067,-3796,3966752666
47,-5249,-4877,3966752666
48,-4958,-4363,3966752666
49,-6297,-4045,3966752666
50,-7513,-3437,3966752666
51,-9615,-3032,3966752666
52,-10582,-2466,3966752666
53,-9963,-96,3966752666
54,-9251,346,3966752666
55,-9659,936,3966752666
56,-11020,2641,3966752666
57,-14969,1750,3966752666
58,-16879,1047,3966752666
59,-17560,1327,3966752666
60,-18142,1355,3966752666
61,-18645,666,3966752666
62,-16349,1315,3966752666
63,-16633,1205,3966752666
64,-16140,-675,3966752666
65,-16834,-675,3966752666
66,-18778,-675,3966752666
67,-21151,-675,3966752666
68,-21627,-675,3966752666
69,-22136,-675,3966752666
70,-23913,-675,3966752666
71,-22730,-675,3966752666
72,-21984,-675,3966752666
73,-18969,-675,3966752666
74,-21476,-675,3966752666
75,-24206,-675,3966752666
76,-22969,-675,3966752666
