end,last_death,match_id,start
779,764,3966752666,742
963,948,3966752666,919
1037,1022,3966752666,988
1335,1320,3966752666,1299
1984,1969,3966752666,1950
2083,2068,3966752666,2016
2356,2341,3966752666,2319
2611,2596,3966752666,2557
3303,3288,3966752666,3268
3788,3773,3966752666,3740
4138,4123,3966752666,4105
4321,4306,3966752666,4273
4703,4688,3966752666,4660
566,551,4061952570,518
779,764,4061952570,745
810,795,4061952570,767
972,957,4061952570,886
1259,1244,4061952570,1203
1376,1361,4061952570,1322
1526,1511,4061952570,1484
1847,1832,4061952570,1794
2009,1994,4061952570,1968
2059,2044,4061952570,2025
2243,2228,4061952570,2203
2444,2429,4061952570,2388
2734,2719,4061952570,2685
3167,3152,4061952570,3118
3453,3438,4061952570,3414
269,254,4080778303,227
331,316,4080778303,287
637,622,4080778303,585
756,741,4080778303,713
1086,1071,4080778303,1014
1673,1658,4080778303,1612
1810,1795,4080778303,1766
2073,2058,4080778303,2029
2516,2501,4080778303,2464
2842,2827,4080778303,2799
2915,2900,4080778303,2863
3264,3249,4080778303,3207
3722,3707,4080778303,3673
1151,1136,3962701540,1094
1523,1508,3962701540,1488
1615,1600,3962701540,1578
1776,1761,3962701540,1711
2061,2046,3962701540,2003
2428,2413,3962701540,2381
2618,2603,3962701540,2567
2674,2659,3962701540,2614
2952,2937,3962701540,2886
3394,3379,3962701540,3312
3763,3748,3962701540,3731
3924,3909,3962701540,3884
4185,4170,3962701540,4143
295,280,3967062172,249
526,511,3967062172,477
713,698,3967062172,679
1504,1489,3967062172,1452
1558,1543,3967062172,1514
1680,1665,3967062172,1637
1812,1797,3967062172,1772
2146,2131,3967062172,2112
2173,2158,3967062172,2138
2398,2383,3967062172,2360
2546,2531,3967062172,2503
2614,2599,3967062172,2570
3090,3075,3967062172,3027
3502,3487,3967062172,3461
3659,3644,3967062172,3621
422,407,3965702859,382
657,642,3965702859,617
767,752,3965702859,729
1007,992,3965702859,958
1125,1110,3965702859,1075
1365,1350,3965702859,1307
1922,1907,3965702859,1881
2196,2181,3965702859,2146
2359,2344,3965702859,2320
2401,2386,3965702859,2355
2825,2810,3965702859,2777
3004,2989,3965702859,2955
3083,3068,3965702859,3035
3141,3126,3965702859,3092
843,828,3971583578,797
1031,1016,3971583578,986
1433,1418,3971583578,1395
1631,1616,3971583578,1592
2339,2324,3971583578,2302
3178,3163,3971583578,3102
3295,3280,3971583578,3247
3564,3549,3971583578,3525
3857,3842,3971583578,3807
4128,4113,3971583578,4057
4310,4295,3971583578,4269
4747,4732,3971583578,4685
169,154,3967480317,129
233,218,3967480317,200
701,686,3967480317,648
982,967,3967480317,929
1170,1155,3967480317,1125
1337,1322,3967480317,1299
1499,1484,3967480317,1461
1687,1672,3967480317,1645
2035,2020,3967480317,1991
2192,2177,3967480317,2144
2253,2238,3967480317,2200
2609,2594,3967480317,2567
2943,2928,3967480317,2879
3506,3491,3967480317,3432
625,610,4078478649,585
1074,1059,4078478649,1035
1726,1711,4078478649,1682
1985,1970,4078478649,1951
2641,2626,4078478649,2560
2672,2657,4078478649,2637
2734,2719,4078478649,2694
2929,2914,4078478649,2885
3511,3496,4078478649,3463
3785,3770,4078478649,3753
613,598,4063266100,569
724,709,4063266100,674
1514,1499,4063266100,1468
1870,1855,4063266100,1820
2166,2151,4063266100,2128
2429,2414,4063266100,2376
2621,2606,4063266100,2567
2874,2859,4063266100,2829
2917,2902,4063266100,2869
3144,3129,4063266100,3103
3497,3482,4063266100,3449
3863,3848,4063266100,3824
3894,3879,4063266100,3861
4167,4152,4063266100,4100
4435,4420,4063266100,4376
4498,4483,4063266100,4441
4754,4739,4063266100,4711
4904,4889,4063266100,4857
798,783,4062098446,731
1015,1000,4062098446,951
1180,1165,4062098446,1136
1307,1292,4062098446,1262
1529,1514,4062098446,1482
2060,2045,4062098446,1988
2184,2169,4062098446,2127
2538,2523,4062098446,2496
3114,3099,4062098446,3066
3225,3210,4062098446,3179
3265,3250,4062098446,3211
1340,1325,3960615221,1296
1479,1464,3960615221,1430
2226,2211,3960615221,2181
2469,2454,3960615221,2413
2863,2848,3960615221,2819
3073,3058,3960615221,3033
3100,3085,3960615221,3059
3252,3237,3960615221,3215
3505,3490,3960615221,3463
3535,3520,3960615221,3492
1309,1294,3965779077,1250
1581,1566,3965779077,1514
1803,1788,3965779077,1749
2385,2370,3965779077,2325
3051,3036,3965779077,3014
3142,3127,3965779077,3089
3369,3354,3965779077,3310
3741,3726,3965779077,3686
375,360,3961291740,325
490,475,3961291740,439
663,648,3961291740,626
1241,1226,3961291740,1191
1385,1370,3961291740,1325
1812,1797,3961291740,1773
2134,2119,3961291740,2093
2335,2320,3961291740,2295
2690,2675,3961291740,2640
2956,2941,3961291740,2913
168,153,4078291886,131
491,476,4078291886,453
615,600,4078291886,564
700,685,4078291886,654
846,831,4078291886,790
950,935,4078291886,906
1107,1092,4078291886,1066
1227,1212,4078291886,1188
1515,1500,4078291886,1470
1871,1856,4078291886,1799
2176,2161,4078291886,2132
2332,2317,4078291886,2272
2709,2694,4078291886,2668
2891,2876,4078291886,2847
465,450,4061662358,422
592,577,4061662358,558
1034,1019,4061662358,978
1055,1040,4061662358,1024
1387,1372,4061662358,1336
1532,1517,4061662358,1482
1888,1873,4061662358,1854
2154,2139,4061662358,2086
2413,2398,4061662358,2353
2530,2515,4061662358,2487
2617,2602,4061662358,2551
3019,3004,4061662358,2956
1691,1676,3971470160,1635
1902,1887,3971470160,1860
2164,2149,3971470160,2112
2707,2692,3971470160,2661
2821,2806,3971470160,2770
2979,2964,3971470160,2935
3286,3271,3971470160,3224
633,618,4070746269,586
803,788,4070746269,735
1059,1044,4070746269,1017
1396,1381,4070746269,1358
1542,1527,4070746269,1487
1630,1615,4070746269,1588
1735,1720,4070746269,1687
2037,2022,4070746269,1989
2229,2214,4070746269,2176
2422,2407,4070746269,2370
3200,3185,4070746269,3151
3292,3277,4070746269,3253
571,556,3961000985,540
795,780,3961000985,734
1087,1072,3961000985,1041
1527,1512,3961000985,1488
1618,1603,3961000985,1561
1733,1718,3961000985,1677
2039,2024,3961000985,1993
2261,2246,3961000985,2192
2433,2418,3961000985,2386
2740,2725,3961000985,2699
2778,2763,3961000985,2728
920,905,4074821374,864
1064,1049,4074821374,1020
1159,1144,4074821374,1098
1373,1358,4074821374,1325
1867,1852,4074821374,1818
2318,2303,4074821374,2278
2368,2353,4074821374,2317
2753,2738,4074821374,2709
2943,2928,4074821374,2898
3192,3177,4074821374,3148
725,710,3961505531,670
935,920,3961505531,887
1131,1116,3961505531,1088
1909,1894,3961505531,1872
2047,2032,3961505531,2006
2309,2294,3961505531,2245
2832,2817,3961505531,2778
3148,3133,3961505531,3093
3406,3391,3961505531,3365
399,384,4061660411,341
735,720,4061660411,685
832,817,4061660411,784
1075,1060,4061660411,1022
1220,1205,4061660411,1185
1250,1235,4061660411,1205
1877,1862,4061660411,1831
1937,1922,4061660411,1897
2178,2163,4061660411,2143
2267,2252,4061660411,2211
2503,2488,4061660411,2468
2654,2639,4061660411,2607
2693,2678,4061660411,2655
3016,3001,4061660411,2978
230,215,3962882047,181
549,534,3962882047,502
690,675,3962882047,655
811,796,3962882047,768
1035,1020,3962882047,998
1509,1494,3962882047,1475
1768,1753,3962882047,1716
1845,1830,3962882047,1800
1968,1953,3962882047,1922
2142,2127,3962882047,2092
2343,2328,3962882047,2305
2364,2349,3962882047,2329
2568,2553,3962882047,2513
2722,2707,3962882047,2683
496,481,4066822873,455
815,800,4066822873,781
913,898,4066822873,861
1119,1104,4066822873,1082
1241,1226,4066822873,1201
1273,1258,4066822873,1229
1440,1425,4066822873,1393
1535,1520,4066822873,1492
1899,1884,4066822873,1831
2189,2174,4066822873,2143
2516,2501,4066822873,2454
3333,3318,4066822873,3270
3596,3581,4066822873,3557
4529,4514,4066822873,4492
4652,4637,4066822873,4611
4746,4731,4066822873,4688
417,402,3967727113,376
530,515,3967727113,480
895,880,3967727113,865
1248,1233,3967727113,1191
1657,1642,3967727113,1613
2231,2216,3967727113,2182
