,combination,count,hero1_id,hero2_id,hero1_name,hero2_name
1086,"[102, 119]",1,102,119,Abaddon,Dark Willow
1089,"[102, 107]",1,102,107,Abaddon,Earth Spirit
2077,"[102, 103]",2,102,103,Abaddon,Elder Titan
1090,"[102, 106]",1,102,106,Abaddon,Ember Spirit
1085,"[102, 120]",1,102,120,Abaddon,Pangolier
2102,"[102, 110]",2,102,110,Abaddon,Phoenix
1088,"[102, 109]",1,102,109,Abaddon,Terrorblade
1126,"[73, 113]",1,73,113,Alchemist,Arc Warden
1123,"[73, 78]",1,73,78,Alchemist,Brewmaster
1143,"[73, 99]",1,73,99,Alchemist,Bristleback
3198,"[73, 119]",5,73,119,Alchemist,Dark Willow
1141,"[73, 107]",1,73,107,Alchemist,Earth Spirit
2582,"[73, 103]",3,73,103,Alchemist,Elder Titan
1551,"[73, 91]",2,73,91,Alchemist,Io
1129,"[73, 97]",1,73,97,Alchemist,Magnus
1122,"[73, 88]",1,73,88,Alchemist,Nyx Assassin
2576,"[73, 120]",3,73,120,Alchemist,Pangolier
3197,"[73, 110]",5,73,110,Alchemist,Phoenix
1131,"[73, 100]",1,73,100,Alchemist,Tusk
1127,"[73, 108]",1,73,108,Alchemist,Underlord
2662,"[73, 85]",4,73,85,Alchemist,Undying
2579,"[73, 112]",3,73,112,Alchemist,Winter Wyvern
3206,"[68, 102]",5,68,102,Ancient Apparition,Abaddon
1197,"[68, 96]",1,68,96,Ancient Apparition,Centaur Warrunner
2138,"[68, 119]",3,68,119,Ancient Apparition,Dark Willow
1431,"[68, 69]",2,68,69,Ancient Apparition,Doom
2858,"[68, 107]",4,68,107,Ancient Apparition,Earth Spirit
1134,"[68, 103]",1,68,103,Ancient Apparition,Elder Titan
1137,"[68, 106]",1,68,106,Ancient Apparition,Ember Spirit
3201,"[68, 72]",5,68,72,Ancient Apparition,Gyrocopter
1451,"[68, 91]",2,68,91,Ancient Apparition,Io
1136,"[68, 104]",1,68,104,Ancient Apparition,Legion Commander
1437,"[68, 80]",2,68,80,Ancient Apparition,Lone Druid
1435,"[68, 77]",2,68,77,Ancient Apparition,Lycan
1135,"[68, 97]",1,68,97,Ancient Apparition,Magnus
1216,"[68, 82]",1,68,82,Ancient Apparition,Meepo
2153,"[68, 89]",3,68,89,Ancient Apparition,Naga Siren
1442,"[68, 88]",2,68,88,Ancient Apparition,Nyx Assassin
1138,"[68, 111]",1,68,111,Ancient Apparition,Oracle
3199,"[68, 76]",5,68,76,Ancient Apparition,Outworld Devourer
1456,"[68, 120]",2,68,120,Ancient Apparition,Pangolier
3462,"[68, 86]",6,68,86,Ancient Apparition,Rubick
1436,"[68, 79]",2,68,79,Ancient Apparition,Shadow Demon
1177,"[68, 93]",1,68,93,Ancient Apparition,Slark
2174,"[68, 109]",3,68,109,Ancient Apparition,Terrorblade
1217,"[68, 83]",1,68,83,Ancient Apparition,Treant Protector
1348,"[68, 95]",2,68,95,Ancient Apparition,Troll Warlord
3746,"[68, 100]",8,68,100,Ancient Apparition,Tusk
3205,"[68, 108]",5,68,108,Ancient Apparition,Underlord
1190,"[68, 92]",1,68,92,Ancient Apparition,Visage
1139,"[68, 112]",1,68,112,Ancient Apparition,Winter Wyvern
2018,"[1, 2]",2,1,2,Anti-Mage,Axe
2660,"[1, 38]",4,1,38,Anti-Mage,Beastmaster
981,"[1, 4]",1,1,4,Anti-Mage,Bloodseeker
2006,"[1, 66]",2,1,66,Anti-Mage,Chen
2473,"[1, 51]",3,1,51,Anti-Mage,Clockwerk
993,"[1, 119]",1,1,119,Anti-Mage,Dark Willow
983,"[1, 43]",1,1,43,Anti-Mage,Death Prophet
2020,"[1, 49]",2,1,49,Anti-Mage,Dragon Knight
995,"[1, 107]",1,1,107,Anti-Mage,Earth Spirit
996,"[1, 106]",1,1,106,Anti-Mage,Ember Spirit
2474,"[1, 52]",3,1,52,Anti-Mage,Leshrac
988,"[1, 25]",1,1,25,Anti-Mage,Lina
1019,"[1, 97]",1,1,97,Anti-Mage,Magnus
2475,"[1, 53]",3,1,53,Anti-Mage,Nature's Prophet
978,"[1, 60]",1,1,60,Anti-Mage,Night Stalker
1020,"[1, 88]",1,1,88,Anti-Mage,Nyx Assassin
994,"[1, 111]",1,1,111,Anti-Mage,Oracle
2019,"[1, 120]",2,1,120,Anti-Mage,Pangolier
