combi,hero1_id,hero2_id,hero1_name,hero2_name,matches_won_perc,num_matches_picked,num_matches_won,ancient_kills,buyback_count,camps_stacked,courier_kills,creeps_stacked,deaths,denies,hero_damage,hero_healing,hero_kills,kills,lane_kills,necronomicon_kills,neutral_kills,observer_kills,observer_uses,roshan_kills,rune_pickups,sentry_kills,sentry_uses,total_gold,total_xp,tower_damage,tower_kills
"(102, 68)",102,68,Abaddon,Ancient Apparition,0.5,2,1.0,2.5,0.5,1.5,0.0,2.0,8.0,4.5,14734.5,2669.5,5.5,6.0,129.5,0.0,14.0,1.0,7.0,0.0,10.0,0.0,6.0,18859.5,27411.0,1364.5,2.0
"(102, 99)",102,99,Abaddon,Bristleback,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,25708.0,0.0,2.0,2.0,261.0,0.0,11.0,0.0,0.0,0.0,10.0,0.0,0.0,19003.0,20997.0,1213.0,1.0
"(102, 119)",102,119,Abaddon,Dark Willow,0.0,1,0.0,7.0,1.0,3.0,0.0,7.0,7.0,10.0,26050.0,350.0,8.0,8.0,189.0,3.0,83.0,1.0,1.0,0.0,33.0,0.0,3.0,27150.0,33022.0,521.0,1.0
"(102, 43)",102,43,Abaddon,Death Prophet,0.0,1,0.0,15.0,1.0,1.0,0.0,2.0,8.0,19.0,28270.0,350.0,8.0,8.0,321.0,2.0,145.0,2.0,0.0,0.0,21.0,0.0,0.0,32642.0,40115.0,1240.0,1.0
"(102, 87)",102,87,Abaddon,Disruptor,0.3333333333333333,3,1.0,1.0,0.6666666666666666,3.0,0.0,12.333333333333334,9.333333333333334,8.0,14625.666666666666,350.0,3.0,3.3333333333333335,115.33333333333333,0.0,23.0,1.6666666666666667,8.333333333333334,0.0,13.333333333333334,1.0,1.6666666666666667,16888.0,19823.333333333332,2024.3333333333333,1.3333333333333333
"(102, 49)",102,49,Abaddon,Dragon Knight,1.0,1,1.0,29.0,0.0,6.0,0.0,24.0,4.0,14.0,21918.0,2474.0,9.0,9.0,289.0,2.0,104.0,0.0,1.0,1.0,10.0,0.0,0.0,35070.0,40891.0,7699.0,3.0
"(102, 103)",102,103,Abaddon,Elder Titan,0.0,1,0.0,0.0,0.0,6.0,0.0,22.0,13.0,13.0,34346.0,1230.0,7.0,7.0,191.0,0.0,15.0,0.0,1.0,0.0,10.0,0.0,0.0,22047.0,30843.0,714.0,1.0
"(102, 106)",102,106,Abaddon,Ember Spirit,1.0,1,1.0,0.0,0.0,1.0,0.0,3.0,4.0,16.0,24797.0,1800.0,20.0,20.0,161.0,0.0,18.0,2.0,1.0,0.0,5.0,0.0,6.0,22880.0,27010.0,4132.0,5.0
"(102, 41)",102,41,Abaddon,Faceless Void,0.5,2,1.0,18.0,0.0,0.5,0.0,0.5,4.5,18.0,14174.5,1473.5,4.0,4.5,235.0,0.0,74.0,0.5,0.5,0.0,10.0,0.0,0.0,24383.5,33847.5,2233.0,2.0
"(102, 72)",102,72,Abaddon,Gyrocopter,0.6666666666666666,3,2.0,14.0,0.6666666666666666,1.3333333333333333,0.0,4.0,8.0,22.0,35851.666666666664,1868.0,11.333333333333334,11.333333333333334,286.3333333333333,2.0,117.66666666666667,0.3333333333333333,0.3333333333333333,1.6666666666666667,13.333333333333334,0.3333333333333333,0.0,32925.666666666664,38747.666666666664,4141.0,2.3333333333333335
"(102, 91)",102,91,Abaddon,Io,0.0,1,0.0,0.0,1.0,3.0,0.0,6.0,21.0,5.0,20638.0,16536.0,4.0,4.0,178.0,0.0,72.0,0.0,3.0,0.0,5.0,0.0,0.0,25395.0,29855.0,3346.0,1.0
"(102, 8)",102,8,Abaddon,Juggernaut,0.5,2,1.0,50.5,1.5,0.0,0.0,0.0,7.5,35.5,50647.5,7979.0,8.0,8.0,511.5,0.0,220.0,1.0,1.0,1.5,27.0,0.5,0.0,51311.5,54715.0,8644.5,4.0
"(102, 23)",102,23,Abaddon,Kunkka,1.0,1,1.0,8.0,1.0,0.0,0.0,0.0,7.0,7.0,38392.0,1600.0,17.0,17.0,296.0,0.0,50.0,1.0,2.0,0.0,9.0,0.0,0.0,35477.0,46442.0,4270.0,4.0
"(102, 52)",102,52,Abaddon,Leshrac,0.0,1,0.0,7.0,0.0,3.0,0.0,11.0,16.0,9.0,38933.0,4608.0,10.0,10.0,397.0,0.0,117.0,0.0,2.0,2.0,6.0,0.0,0.0,40223.0,46974.0,5050.0,2.0
"(102, 54)",102,54,Abaddon,Lifestealer,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,18015.0,1090.0,5.0,5.0,326.0,0.0,62.0,0.0,1.0,0.0,14.0,1.0,0.0,28218.0,32257.0,6198.0,1.0
"(102, 26)",102,26,Abaddon,Lion,0.5,2,1.0,3.0,1.0,2.5,0.0,12.0,12.0,7.0,14108.5,2517.0,2.5,2.5,166.5,0.5,43.0,2.0,8.5,0.5,13.5,1.5,5.0,22096.5,25881.0,1478.5,1.5
"(102, 48)",102,48,Abaddon,Luna,1.0,1,1.0,51.0,1.0,3.0,0.0,12.0,3.0,35.0,47533.0,4278.0,13.0,13.0,428.0,0.0,276.0,0.0,0.0,1.0,31.0,0.0,0.0,53724.0,53243.0,21797.0,10.0
"(102, 97)",102,97,Abaddon,Magnus,1.0,1,1.0,0.0,0.0,2.0,0.0,5.0,7.0,9.0,11316.0,2126.0,5.0,5.0,130.0,0.0,54.0,2.0,1.0,0.0,7.0,0.0,6.0,18174.0,24357.0,1684.0,0.0
"(102, 89)",102,89,Abaddon,Naga Siren,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,13.0,4.0,11087.0,2160.0,0.0,0.0,160.0,0.0,11.0,0.0,1.0,0.0,14.0,0.0,3.0,15842.0,17051.0,413.0,0.0
