dire_score,dire_team_id,dire_team_name,duration,first_blood_time,match_id,radiant_score,radiant_team_id,radiant_team_name,radiant_win
12,5026801,,1734,323,4070356125,26,2163,Team Liquid,True
9,5026801,,1819,50,4070423361,32,2163,Team Liquid,True
29,1883502,Virtus.pro,2378,11,4070500759,17,15,PSG.LGD,True
13,1883502,Virtus.pro,2121,0,4070556816,30,15,PSG.LGD,True
19,350190,Fnatic,2675,206,4070612749,39,5066616,Team Serenity,True
30,2108395,TNC Predator,2962,76,4070674710,18,543897, mski亿电竞,True
41,1375614,Newbee,3322,263,4070746269,44,5229127,Winstrike,True
34,726228,Vici Gaming,2743,0,4070838238,18,5027210,VGJ Thunder,False
30,2586976,OG,2670,268,4072252473,36,5228654,VGJ Storm,False
29,5228654,VGJ Storm,2149,15,4072354014,36,2586976,OG,True
21,1838315,Team Secret,2558,89,4072441405,34,39,Evil Geniuses,True
41,39,Evil Geniuses,3489,172,4072509593,37,1838315,Team Secret,False
9,5066616,Team Serenity,2304,144,4072586507,31,5026801,,True
38,5026801,,2328,0,4072635180,20,5066616,Team Serenity,False
27,543897, mski亿电竞,3097,171,4072699199,40,1883502,Virtus.pro,True
19,543897, mski亿电竞,2136,10,4072772695,38,1883502,Virtus.pro,True
12,1883502,Virtus.pro,1872,311,4076043995,24,5026801,,True
62,1883502,Virtus.pro,2566,107,4076114893,24,5026801,,False
17,5026801,,1553,93,4076188379,33,1883502,Virtus.pro,True
9,5228654,VGJ Storm,1978,227,4076257095,25,1838315,Team Secret,True
35,5228654,VGJ Storm,3320,77,4076314248,40,1838315,Team Secret,True
27,39,Evil Geniuses,2120,214,4076431752,17,1883502,Virtus.pro,False
34,1883502,Virtus.pro,2801,126,4076485641,38,39,Evil Geniuses,True
44,5228654,VGJ Storm,1985,251,4074178274,12,5229127,Winstrike,False
13,5229127,Winstrike,1660,107,4074255285,26,5228654,VGJ Storm,True
46,726228,Vici Gaming,3532,83,4074356696,32,1838315,Team Secret,False
11,726228,Vici Gaming,1935,202,4074440208,31,1838315,Team Secret,True
31,1838315,Team Secret,2021,129,4074486307,19,726228,Vici Gaming,False
35,15,PSG.LGD,1972,272,4074591870,16,2163,Team Liquid,False
33,15,PSG.LGD,1907,0,4074639753,7,2163,Team Liquid,False
39,2586976,OG,1956,62,4074694505,26,39,Evil Geniuses,False
34,39,Evil Geniuses,2612,203,4074748928,30,2586976,OG,False
37,2586976,OG,3207,0,4074821374,47,39,Evil Geniuses,False
40,2163,Team Liquid,3098,115,4078079157,27,1838315,Team Secret,False
38,2163,Team Liquid,2535,46,4078180258,18,1838315,Team Secret,False
52,2586976,OG,2935,45,4078291886,36,15,PSG.LGD,False
45,15,PSG.LGD,2222,11,4078363316,26,2586976,OG,False
40,15,PSG.LGD,3489,119,4078412913,33,2586976,OG,True
40,2163,Team Liquid,3857,134,4078478649,53,39,Evil Geniuses,True
21,2163,Team Liquid,2081,34,4078566725,39,39,Evil Geniuses,True
41,15,PSG.LGD,2605,0,4080316101,21,39,Evil Geniuses,False
18,39,Evil Geniuses,1944,95,4080420268,32,15,PSG.LGD,True
27,15,PSG.LGD,2078,217,4080601137,34,2586976,OG,True
19,2586976,OG,2285,80,4080666526,45,15,PSG.LGD,True
50,15,PSG.LGD,2066,137,4080723031,25,2586976,OG,False
49,2586976,OG,3921,109,4080778303,58,15,PSG.LGD,False
35,2586976,OG,2188,153,4080856812,34,15,PSG.LGD,False
