account_id,ancient_kills,buyback_count,camps_stacked,courier_kills,creeps_stacked,deaths,denies,gold_per_min,hero_damage,hero_healing,hero_id,hero_kills,is_roaming,kda,kills,lane,lane_efficiency_pct,lane_kills,lane_role,match_id,necronomicon_kills,neutral_kills,observer_kills,observer_uses,player_slot,roshan_kills,rune_pickups,sentry_kills,sentry_uses,teamfight_participation,total_gold,total_xp,tower_damage,tower_kills,win,xp_per_min,player_side
82262664,0,1,0,0,0,2,3,261,10220,360,31,3,False,6,3,3,26,28,3,4070356125,0,2,1,7,0,0,2,0,3,0.7307692,7542,10346,201,1,1,358,radiant
34505203,4,0,0,0,0,0,7,523,23790,0,56,10,False,19,10,3,64,114,3,4070356125,0,35,1,0,1,1,3,1,0,0.7307692,15114,14883,7252,3,1,515,radiant
105248644,3,1,7,0,15,2,7,980,21281,0,73,6,False,6,6,2,105,189,2,4070356125,0,100,0,0,2,0,7,0,0,0.6923077,28322,19709,3376,2,1,682,radiant
101356886,0,0,0,0,0,4,1,231,9619,1265,119,2,False,3,2,1,31,11,1,4070356125,0,2,1,0,3,0,5,0,2,0.65384614,6675,9912,98,0,1,343,radiant
72312627,1,0,0,0,0,4,10,406,13432,2151,42,4,False,4,4,1,64,105,1,4070356125,0,23,0,0,4,0,6,1,0,0.7692308,11733,14016,691,0,1,485,radiant
221666230,0,0,0,0,0,3,14,378,13572,100,19,3,False,1,3,2,67,146,2,4070356125,0,8,0,1,128,0,6,0,0,0.5833333,10924,12138,1283,1,0,420,dire
73562326,0,0,0,0,0,9,0,216,5639,3969,91,2,False,0,2,3,26,19,1,4070356125,0,12,0,4,129,0,1,1,1,0.5,6242,7456,85,1,0,258,dire
87285329,3,1,0,0,0,3,9,471,21596,200,63,7,False,3,5,1,71,141,3,4070356125,0,42,0,1,130,0,6,1,0,1.0,13611,17224,205,0,0,596,dire
86698277,2,1,0,0,0,3,10,335,8715,400,49,2,False,1,1,3,61,112,1,4070356125,0,16,1,1,131,0,1,0,0,0.33333334,9681,10028,2177,0,0,347,dire
86727555,0,0,0,0,0,10,0,163,5374,5014,102,1,False,0,1,1,35,12,3,4070356125,0,1,0,4,132,0,0,3,2,0.5833333,4710,5259,24,0,0,182,dire
82262664,0,0,0,0,0,3,1,266,6499,0,20,1,False,4,1,3,32,28,3,4070423361,0,2,0,4,0,0,7,2,7,0.53125,8064,11944,472,0,1,394,radiant
34505203,3,0,5,0,16,1,5,540,12982,300,65,9,False,9,9,1,90,157,1,4070423361,0,27,0,0,1,0,3,0,0,0.5625,16371,16249,749,1,1,536,radiant
105248644,6,0,0,0,0,2,13,604,13417,0,70,12,False,5,12,3,70,174,3,4070423361,0,31,0,0,2,1,7,0,0,0.5,18311,18493,2574,2,1,610,radiant
101356886,0,0,2,0,12,2,1,274,10165,2563,107,2,False,8,2,1,37,14,1,4070423361,0,11,0,0,3,0,6,0,0,0.8125,8306,12611,626,1,1,416,radiant
72312627,43,0,2,0,4,1,5,619,10887,0,61,8,False,6,8,2,86,136,2,4070423361,0,111,0,0,4,1,2,1,1,0.40625,18766,19432,9129,5,1,641,radiant
221666230,1,0,0,0,0,4,12,371,8902,0,19,2,False,0,2,2,74,138,2,4070423361,0,21,1,1,128,0,2,0,1,0.22222222,11247,12672,1426,0,0,418,dire
73562326,0,0,0,0,0,8,6,299,7787,0,53,2,False,0,2,3,42,61,1,4070423361,0,40,3,8,129,0,4,0,4,0.7777778,9064,7124,1401,2,0,235,dire
87285329,10,0,1,0,3,5,7,424,11277,0,12,2,False,0,2,1,67,129,3,4070423361,0,69,0,0,130,0,2,0,0,0.44444445,12854,13703,325,0,0,452,dire
86698277,2,1,1,0,1,4,9,389,12320,3138,36,3,False,1,3,3,67,119,1,4070423361,0,49,0,0,131,0,2,0,0,0.6666667,11793,13157,233,0,0,434,dire
86727555,0,0,1,0,2,11,0,152,5256,0,5,0,False,0,0,1,25,13,3,4070423361,0,5,0,2,132,0,1,0,2,0.33333334,4608,7063,0,0,0,233,dire
125581247,37,0,1,0,2,4,21,567,10458,0,6,6,False,2,6,3,65,142,3,4070500759,0,127,0,0,0,1,4,0,0,0.7058824,22472,18191,6481,4,1,459,radiant
106863163,5,0,0,0,0,3,6,589,22749,0,17,5,False,3,5,2,81,240,2,4070500759,0,108,1,2,1,0,13,0,0,0.88235295,23344,24533,1652,3,1,619,radiant
94296097,0,1,1,0,2,7,5,233,5671,948,85,1,False,1,1,3,36,34,3,4070500759,0,10,1,9,2,0,3,1,7,0.7647059,9234,12484,62,0,1,315,radiant
101695162,1,1,3,0,8,8,2,262,10349,0,20,1,False,1,1,1,35,45,1,4070500759,0,26,1,1,3,0,3,0,4,0.8235294,10383,15060,499,0,1,380,radiant
94738847,4,1,1,0,2,7,16,374,17381,2578,36,4,False,1,4,1,61,125,1,4070500759,0,71,0,0,4,0,1,1,0,0.64705884,14822,16210,847,0,1,409,radiant
134556694,0,2,0,0,0,6,2,245,11352,485,3,4,False,2,4,3,32,17,1,4070500759,0,13,1,14,128,0,8,3,2,0.62068963,9710,12920,101,0,0,326,dire
132851371,36,0,0,0,0,1,9,550,16672,0,92,9,False,11,9,3,43,145,1,4070500759,0,129,0,0,129,1,2,0,0,0.79310346,21798,24731,5093,4,0,624,dire
106573901,5,0,0,0,0,3,15,446,22333,0,19,9,False,5,9,2,64,171,2,4070500759,0,55,0,0,130,0,7,0,0,0.7241379,17676,19222,952,1,0,485,dire
92423451,4,1,1,0,1,2,49,444,13981,0,33,5,False,7,6,1,48,184,3,4070500759,0,71,0,0,131,0,2,1,0,0.7241379,17597,18865,1822,1,0,476,dire
159020918,0,0,0,0,0,5,3,279,8447,412,23,1,False,3,1,1,31,58,3,4070500759,0,27,0,2,132,0,7,1,2,0.6896552,11057,14902,0,0,0,376,dire
125581247,40,0,1,0,2,0,29,678,22587,248,109,6,False,13,5,1,78,221,1,4070556816,0,128,1,0,0,2,5,3,0,0.4,23967,22942,8650,3,1,649,radiant
106863163,4,0,0,0,0,2,8,606,24355,0,25,13,False,6,12,2,76,179,2,4070556816,0,95,1,1,1,0,8,2,0,0.6,21422,23755,3879,2,1,672,radiant
94296097,0,1,1,0,2,4,2,327,10996,100,75,4,True,4,4,1,45,46,1,4070556816,0,11,4,9,2,0,2,2,4,0.6666667,11559,11559,514,1,1,327,radiant
101695162,0,0,1,0,2,3,1,361,13599,3425,100,4,True,5,3,3,42,50,3,4070556816,0,6,0,1,3,0,4,1,1,0.76666665,12761,15730,264,0,1,445,radiant
94738847,8,0,0,0,0,4,2,419,13038,392,63,6,False,3,6,3,59,92,3,4070556816,0,77,0,0,4,0,8,1,0,0.5,14811,15412,2711,0,1,436,radiant
134556694,1,2,2,0,6,11,11,197,6164,0,3,3,True,0,2,3,47,31,1,4070556816,0,12,2,12,128,0,2,4,4,0.53846157,6963,7494,98,0,0,212,dire
132851371,13,0,1,0,6,4,15,444,13193,455,42,7,False,2,7,3,89,167,1,4070556816,0,57,0,0,129,0,6,0,0,0.84615386,15695,15907,1263,2,0,450,dire
106573901,6,1,3,0,7,5,1,718,18856,0,73,3,False,1,3,2,120,164,2,4070556816,0,138,0,0,130,0,1,0,0,0.6923077,25381,15695,0,0,0,444,dire
92423451,0,1,0,0,0,3,7,307,6679,0,9,1,False,1,1,1,50,131,3,4070556816,0,11,1,0,131,0,3,2,0,0.3846154,10852,10852,227,0,0,307,dire
159020918,0,0,1,0,3,7,4,182,3712,0,23,0,False,0,0,1,31,34,3,4070556816,0,2,0,1,132,0,4,1,10,0.3846154,6433,10004,94,0,0,283,dire
168028715,34,1,1,0,1,4,26,615,22626,0,72,6,False,5,6,1,58,230,1,4070612749,0,131,1,0,0,1,4,3,0,0.6923077,27418,28890,5751,2,1,648,radiant
157475523,13,1,1,0,1,2,22,525,16711,12382,36,10,False,9,10,3,83,173,3,4070612749,0,106,3,1,1,0,6,4,0,0.6923077,23406,27240,4312,0,1,611,radiant
117731777,0,1,0,0,0,4,3,290,11377,1096,84,4,False,5,4,1,26,8,1,4070612749,0,0,2,6,2,0,2,5,17,0.6666667,12929,18100,339,1,1,406,radiant
124936122,14,1,1,0,2,3,5,577,23425,0,25,10,False,6,10,2,74,154,2,4070612749,0,181,0,2,3,1,7,2,0,0.6923077,25724,30182,4648,1,1,677,radiant
138543123,2,1,0,1,0,6,5,391,21242,188,19,9,False,3,9,3,41,89,3,4070612749,0,31,1,1,4,0,4,2,0,0.6923077,17432,22960,4213,3,1,515,radiant
43276219,8,2,1,0,2,10,3,418,12744,0,70,3,False,0,2,3,51,153,1,4070612749,0,98,0,2,128,1,3,0,0,0.31578946,18635,22737,0,0,0,510,dire
154715080,24,2,2,0,4,5,14,386,16728,400,92,5,False,2,5,2,64,132,2,4070612749,0,80,2,0,129,0,4,0,0,0.7894737,17209,21043,522,0,0,472,dire
102099826,0,2,3,0,9,6,0,377,24795,1892,110,4,False,2,4,3,29,113,1,4070612749,0,12,0,2,130,0,6,1,4,0.84210527,16807,18145,0,0,0,407,dire
6922000,1,3,1,0,2,14,10,201,7942,0,3,1,False,0,1,1,35,18,3,4070612749,0,2,4,9,131,0,6,4,11,0.6315789,8961,10700,0,0,0,240,dire
87276347,12,1,1,0,1,4,4,487,30052,0,9,7,False,3,7,1,66,186,3,4070612749,0,75,0,0,132,0,13,1,0,0.8947368,21712,24610,195,1,0,552,dire
84772440,3,0,0,0,0,6,4,353,10014,449,78,2,False,1,2,3,50,99,3,4070674710,0,30,0,0,0,0,5,0,0,0.6111111,17426,20536,1380,1,1,416,radiant
100471531,0,2,1,0,3,11,0,262,9968,945,119,4,False,1,4,3,22,40,3,4070674710,0,0,1,1,1,0,7,3,10,0.6666667,12934,18216,379,0,1,369,radiant
89871557,1,0,0,0,0,2,21,559,34388,0,67,5,False,4,5,1,58,329,1,4070674710,0,75,0,1,2,1,3,1,0,0.7777778,27595,28287,1007,1,1,573,radiant
