ancient_kills,buyback_count,camps_stacked,combi,courier_kills,creeps_stacked,deaths,denies,hero1_id,hero2_id,hero_damage,hero_healing,hero_kills,kills,lane_kills,match_id,necronomicon_kills,neutral_kills,observer_kills,observer_uses,roshan_kills,rune_pickups,sentry_kills,sentry_uses,side,total_gold,total_xp,tower_damage,tower_kills,win
47,4,7,"(110, 80)",0,15,17,11,110,80,70817,2925,20,20,501,3966752666,0,261,4,19,1,22,10,5,radiant,80542,84526,16717,8,0.0
1,6,3,"(110, 106)",0,5,20,9,110,106,110206,2925,30,29,663,3966752666,0,152,5,18,0,26,11,5,radiant,85959,93528,1278,2,0.0
26,6,4,"(110, 104)",0,6,28,28,110,104,82441,3195,26,25,278,3966752666,0,187,6,18,0,10,11,9,radiant,69070,79029,185,1,0.0
1,5,2,"(110, 107)",0,4,26,10,110,107,54723,4885,18,18,203,3966752666,0,58,5,24,0,15,13,10,radiant,61422,76559,185,1,0.0
46,4,8,"(80, 106)",0,16,15,10,80,106,114733,0,24,23,876,3966752666,0,309,1,1,1,40,1,0,radiant,95121,93608,17625,8,0.0
71,4,9,"(80, 104)",0,17,23,29,80,104,86968,270,20,19,491,3966752666,0,344,2,1,1,24,1,4,radiant,78232,79109,16532,7,0.0
46,3,7,"(80, 107)",0,15,21,11,80,107,59250,1960,12,12,416,3966752666,0,215,1,7,1,29,3,5,radiant,70584,76639,16532,7,0.0
25,6,5,"(106, 104)",0,7,26,27,106,104,126357,270,30,28,653,3966752666,0,235,3,0,0,28,2,4,radiant,83649,88111,1093,1,0.0
0,5,3,"(106, 107)",0,5,24,9,106,107,98639,1960,22,21,578,3966752666,0,106,2,6,0,33,4,5,radiant,76001,85641,1093,1,0.0
25,5,4,"(104, 107)",0,6,32,28,104,107,70874,2230,18,17,193,3966752666,0,141,3,6,0,17,4,9,radiant,59112,71142,0,0,0.0
6,7,0,"(31, 85)",0,0,19,5,31,85,49029,4261,12,12,218,3966752666,0,38,7,18,1,17,4,24,dire,63254,76002,538,0,1.0
42,8,2,"(31, 25)",0,5,19,10,31,25,97726,272,21,21,593,3966752666,0,240,6,18,1,25,5,23,dire,92811,91138,12497,4,1.0
21,7,0,"(31, 4)",0,0,19,19,31,4,97320,2425,27,28,644,3966752666,0,206,8,18,3,11,2,23,dire,96396,86836,7036,4,1.0
3,9,0,"(31, 120)",0,0,20,8,31,120,70723,6403,20,20,408,3966752666,0,48,8,19,0,23,5,23,dire,74726,89226,1479,0,1.0
48,7,2,"(85, 25)",0,5,22,9,85,25,75033,4533,17,17,595,3966752666,0,260,3,0,2,28,5,1,dire,83729,85402,12707,4,1.0
