x,y,frequency,match_id,account_id
114,144,1,4070356125,82262664
114,142,1,4070356125,82262664
114,140,1,4070356125,82262664
114,120,1,4070356125,82262664
114,114,1,4070356125,82262664
114,108,1,4070356125,82262664
114,116,1,4070356125,82262664
114,110,1,4070356125,82262664
114,138,1,4070356125,82262664
114,118,1,4070356125,82262664
114,136,1,4070356125,82262664
88,146,1,4070356125,82262664
88,144,6,4070356125,82262664
88,156,6,4070356125,82262664
88,148,2,4070356125,82262664
88,128,1,4070356125,82262664
88,136,2,4070356125,82262664
88,134,2,4070356125,82262664
88,164,3,4070356125,82262664
88,162,2,4070356125,82262664
116,122,1,4070356125,82262664
116,138,1,4070356125,82262664
116,106,1,4070356125,82262664
116,140,1,4070356125,82262664
110,146,1,4070356125,82262664
110,138,3,4070356125,82262664
110,136,1,4070356125,82262664
110,140,1,4070356125,82262664
110,134,1,4070356125,82262664
112,146,2,4070356125,82262664
112,144,1,4070356125,82262664
112,138,1,4070356125,82262664
112,136,1,4070356125,82262664
112,140,1,4070356125,82262664
82,146,8,4070356125,82262664
82,150,13,4070356125,82262664
82,144,18,4070356125,82262664
82,152,14,4070356125,82262664
82,142,19,4070356125,82262664
82,154,2,4070356125,82262664
82,140,4,4070356125,82262664
82,156,3,4070356125,82262664
82,128,3,4070356125,82262664
82,148,19,4070356125,82262664
82,132,6,4070356125,82262664
82,130,6,4070356125,82262664
82,136,1,4070356125,82262664
82,126,4,4070356125,82262664
82,134,1,4070356125,82262664
82,164,3,4070356125,82262664
82,166,3,4070356125,82262664
80,146,15,4070356125,82262664
80,150,3,4070356125,82262664
80,144,7,4070356125,82262664
80,152,9,4070356125,82262664
80,142,12,4070356125,82262664
80,154,1,4070356125,82262664
80,140,19,4070356125,82262664
80,128,4,4070356125,82262664
80,158,2,4070356125,82262664
80,148,15,4070356125,82262664
80,132,7,4070356125,82262664
80,130,7,4070356125,82262664
80,168,3,4070356125,82262664
80,136,7,4070356125,82262664
80,126,2,4070356125,82262664
80,134,5,4070356125,82262664
80,164,1,4070356125,82262664
80,166,1,4070356125,82262664
80,138,15,4070356125,82262664
80,162,1,4070356125,82262664
86,146,9,4070356125,82262664
86,144,2,4070356125,82262664
86,152,4,4070356125,82262664
86,142,1,4070356125,82262664
86,154,7,4070356125,82262664
86,156,6,4070356125,82262664
86,158,6,4070356125,82262664
86,148,1,4070356125,82262664
86,134,3,4070356125,82262664
86,160,2,4070356125,82262664
118,122,1,4070356125,82262664
118,138,2,4070356125,82262664
118,136,1,4070356125,82262664
84,146,11,4070356125,82262664
84,150,13,4070356125,82262664
84,144,9,4070356125,82262664
84,152,8,4070356125,82262664
84,142,2,4070356125,82262664
84,154,4,4070356125,82262664
84,140,1,4070356125,82262664
84,156,7,4070356125,82262664
84,128,3,4070356125,82262664
84,158,4,4070356125,82262664
84,148,13,4070356125,82262664
84,132,3,4070356125,82262664
84,130,4,4070356125,82262664
84,136,2,4070356125,82262664
84,126,1,4070356125,82262664
84,134,2,4070356125,82262664
84,164,2,4070356125,82262664
84,138,1,4070356125,82262664
84,160,1,4070356125,82262664
84,162,1,4070356125,82262664
96,146,1,4070356125,82262664
96,144,1,4070356125,82262664
96,142,4,4070356125,82262664
96,158,2,4070356125,82262664
96,148,1,4070356125,82262664
96,166,1,4070356125,82262664
120,124,1,4070356125,82262664
120,136,2,4070356125,82262664
98,146,1,4070356125,82262664
98,150,1,4070356125,82262664
98,144,1,4070356125,82262664
98,142,3,4070356125,82262664
98,158,1,4070356125,82262664
98,168,1,4070356125,82262664
98,166,1,4070356125,82262664
108,136,3,4070356125,82262664
108,148,2,4070356125,82262664
108,134,1,4070356125,82262664
74,138,1,4070356125,82262664
74,140,1,4070356125,82262664
74,74,3,4070356125,82262664
