hero_id,hero_name,num_bans,num_picks,sum_pickban
91,Io,549,77,626
12,Phantom Lancer,316,134,450
89,Naga Siren,258,141,399
60,Night Stalker,276,105,381
77,Lycan,281,96,377
66,Chen,276,70,346
43,Death Prophet,196,146,342
16,Sand King,139,190,329
38,Beastmaster,170,155,325
3,Bane,145,173,318
52,Leshrac,129,179,308
49,Dragon Knight,146,161,307
72,Gyrocopter,131,169,300
51,Clockwerk,166,133,299
19,Tiny,160,128,288
9,Mirana,126,154,280
25,Lina,119,148,267
53,Nature's Prophet,179,86,265
4,Bloodseeker,177,88,265
37,Warlock,112,141,253
100,Tusk,109,142,251
57,Omniknight,167,68,235
106,Ember Spirit,123,112,235
54,Lifestealer,139,88,227
10,Morphling,142,82,224
69,Doom,106,114,220
23,Kunkka,122,96,218
87,Disruptor,59,148,207
21,Windranger,69,136,205
61,Broodmother,166,33,199
58,Enchantress,155,40,195
92,Visage,141,53,194
63,Weaver,122,71,193
75,Silencer,115,73,188
119,Dark Willow,88,100,188
41,Faceless Void,110,75,185
93,Slark,121,63,184
48,Luna,95,88,183
30,Witch Doctor,41,141,182
88,Nyx Assassin,108,70,178
15,Razor,115,61,176
101,Skywrath Mage,57,119,176
36,Necrophos,114,60,174
45,Pugna,109,65,174
46,Templar Assassin,95,75,170
85,Undying,79,89,168
109,Terrorblade,109,57,166
20,Vengeful Spirit,47,118,165
62,Bounty Hunter,121,39,160
17,Storm Spirit,76,84,160
64,Jakiro,45,114,159
108,Underlord,81,74,155
76,Outworld Devourer,96,58,154
2,Axe,83,71,154
103,Elder Titan,55,95,150
6,Drow Ranger,94,51,145
120,Pangolier,76,69,145
86,Rubick,32,112,144
42,Wraith King,67,74,141
78,Brewmaster,61,78,139
80,Lone Druid,99,38,137
65,Batrider,75,59,134
67,Spectre,67,66,133
112,Winter Wyvern,50,78,128
59,Huskar,90,30,120
56,Clinkz,61,59,120
40,Venomancer,50,53,103
70,Ursa,50,52,102
5,Crystal Maiden,40,60,100
47,Viper,59,39,98
95,Troll Warlord,42,54,96
7,Earthshaker,24,72,96
68,Ancient Apparition,40,55,95
97,Magnus,38,48,86
33,Enigma,51,33,84
74,Invoker,41,41,82
13,Puck,38,43,81
110,Phoenix,28,53,81
11,Shadow Fiend,43,37,80
94,Medusa,39,38,77
114,Monkey King,33,43,76
55,Dark Seer,32,43,75
29,Tidehunter,32,39,71
34,Tinker,40,28,68
102,Abaddon,34,34,68
22,Zeus,25,43,68
26,Lion,10,58,68
39,Queen of Pain,22,44,66
73,Alchemist,34,28,62
107,Earth Spirit,11,49,60
79,Shadow Demon,10,46,56
111,Oracle,15,40,55
8,Juggernaut,19,32,51
104,Legion Commander,19,30,49
98,Timbersaw,23,23,46
28,Slardar,11,35,46
84,Ogre Magi,10,33,43
113,Arc Warden,24,18,42
27,Shadow Shaman,13,29,42
83,Treant Protector,11,25,36
81,Chaos Knight,14,21,35
90,Keeper of the Light,14,20,34
82,Meepo,25,8,33
99,Bristleback,17,14,31
31,Lich,8,23,31
96,Centaur Warrunner,7,22,29
44,Phantom Assassin,7,18,25
14,Pudge,12,9,21
1,Anti-Mage,8,13,21
71,Spirit Breaker,7,14,21
50,Dazzle,2,15,17
18,Sven,5,10,15
35,Sniper,2,9,11
105,Techies,8,0,8
32,Riki,2,6,8
