key,match_id,player_slot,slot,team,time,type,unit
1,3960583608,131.0,8.0,,-16,CHAT_MESSAGE_FIRSTBLOOD,
npc_dota_badguys_tower1_top,3960583608,0.0,0.0,,616,building_kill,npc_dota_hero_gyrocopter
npc_dota_goodguys_tower1_bot,3960583608,130.0,7.0,,730,building_kill,npc_dota_hero_lycan
npc_dota_badguys_tower1_mid,3960583608,3.0,3.0,,948,building_kill,npc_dota_hero_windrunner
npc_dota_badguys_tower2_top,3960583608,0.0,0.0,,1204,building_kill,npc_dota_hero_gyrocopter
npc_dota_goodguys_tower2_bot,3960583608,129.0,6.0,,1312,building_kill,npc_dota_hero_morphling
,3960583608,,,2.0,1410,CHAT_MESSAGE_ROSHAN_KILL,
,3960583608,3.0,3.0,,1410,CHAT_MESSAGE_AEGIS,
npc_dota_badguys_tower2_mid,3960583608,3.0,3.0,,1514,building_kill,npc_dota_hero_windrunner
npc_dota_goodguys_tower1_mid,3960583608,129.0,6.0,,1709,building_kill,npc_dota_hero_morphling
npc_dota_badguys_tower1_bot,3960583608,0.0,0.0,,2002,building_kill,npc_dota_hero_gyrocopter
,3960583608,,,3.0,2049,CHAT_MESSAGE_ROSHAN_KILL,
,3960583608,3.0,3.0,,2049,CHAT_MESSAGE_AEGIS_STOLEN,
npc_dota_badguys_tower3_top,3960583608,3.0,3.0,,2096,building_kill,npc_dota_hero_windrunner
npc_dota_goodguys_tower1_top,3960583608,129.0,6.0,,2167,building_kill,npc_dota_hero_morphling
npc_dota_goodguys_tower2_top,3960583608,129.0,6.0,,2178,building_kill,npc_dota_hero_morphling
npc_dota_badguys_tower2_bot,3960583608,,,,2207,building_kill,npc_dota_creep_goodguys_ranged
npc_dota_goodguys_tower3_top,3960583608,0.0,0.0,,2215,building_kill,npc_dota_hero_gyrocopter
npc_dota_badguys_healers,3960583608,0.0,0.0,,2289,building_kill,npc_dota_hero_gyrocopter
npc_dota_goodguys_healers,3960583608,129.0,6.0,,2323,building_kill,npc_dota_hero_morphling
npc_dota_badguys_tower3_mid,3960583608,0.0,0.0,,2546,building_kill,npc_dota_hero_gyrocopter
npc_dota_badguys_range_rax_mid,3960583608,0.0,0.0,,2553,building_kill,npc_dota_hero_gyrocopter
npc_dota_goodguys_tower2_mid,3960583608,130.0,7.0,,2611,building_kill,npc_dota_hero_lycan
npc_dota_goodguys_healers,3960583608,129.0,6.0,,2643,building_kill,npc_dota_hero_morphling
,3960583608,,,3.0,2676,CHAT_MESSAGE_ROSHAN_KILL,
,3960583608,129.0,6.0,,2676,CHAT_MESSAGE_AEGIS,
npc_dota_goodguys_tower3_bot,3960583608,129.0,6.0,,2773,building_kill,npc_dota_hero_morphling
