minute,radiant_gold_adv,radiant_xp_adv,match_id
1,0,0,4070356125
2,493,-113,4070356125
3,657,289,4070356125
4,654,305,4070356125
5,524,-73,4070356125
6,466,-388,4070356125
7,815,373,4070356125
8,1113,336,4070356125
9,1424,649,4070356125
10,901,109,4070356125
11,1476,389,4070356125
12,3772,2036,4070356125
13,5160,1778,4070356125
14,4394,426,4070356125
15,5497,1516,4070356125
16,6219,2153,4070356125
17,8627,2099,4070356125
18,9972,3922,4070356125
19,9058,2336,4070356125
20,10227,3225,4070356125
21,10980,3449,4070356125
22,10598,4400,4070356125
23,11427,3817,4070356125
24,12968,5023,4070356125
25,14266,5024,4070356125
26,15540,5429,4070356125
27,19056,6950,4070356125
28,20626,8303,4070356125
29,21419,8821,4070356125
1,5,3,4070423361
2,268,-140,4070423361
3,-40,-220,4070423361
4,-227,-385,4070423361
5,172,-452,4070423361
6,357,-613,4070423361
7,1630,-100,4070423361
8,1800,231,4070423361
9,2238,423,4070423361
10,1724,9,4070423361
11,2024,380,4070423361
12,3632,2268,4070423361
13,4103,2202,4070423361
14,4448,2841,4070423361
15,4890,4266,4070423361
16,5647,5361,4070423361
17,5940,6069,4070423361
18,7398,8539,4070423361
19,9548,9493,4070423361
20,9967,9541,4070423361
21,8670,6046,4070423361
22,9103,4258,4070423361
23,9187,4269,4070423361
24,8924,5339,4070423361
25,9172,5862,4070423361
26,10560,8195,4070423361
27,12022,9173,4070423361
28,12561,12491,4070423361
29,13179,13288,4070423361
30,14374,17006,4070423361
31,19750,23115,4070423361
1,0,0,4070500759
2,502,139,4070500759
3,504,-193,4070500759
4,385,259,4070500759
5,540,243,4070500759
6,460,-16,4070500759
7,301,551,4070500759
8,479,465,4070500759
9,1363,1605,4070500759
10,2425,2508,4070500759
11,3051,2319,4070500759
12,3970,2809,4070500759
13,4186,2416,4070500759
14,2230,108,4070500759
15,1643,-240,4070500759
16,608,-1177,4070500759
17,642,-441,4070500759
18,-520,-2494,4070500759
19,-790,-3277,4070500759
20,400,-2370,4070500759
21,294,-2794,4070500759
22,926,-2142,4070500759
23,875,-1665,4070500759
24,794,-2005,4070500759
25,415,-2219,4070500759
26,653,-3043,4070500759
27,685,-3678,4070500759
28,-767,-8885,4070500759
29,-458,-7608,4070500759
30,-1774,-13003,4070500759
31,-2206,-14065,4070500759
32,-3318,-14430,4070500759
33,-3405,-15295,4070500759
34,-4141,-16137,4070500759
35,-5650,-16681,4070500759
36,-5675,-15269,4070500759
37,-5936,-15205,4070500759
38,-6234,-14415,4070500759
39,-7200,-15200,4070500759
40,-2599,-7147,4070500759
1,232,1,4070556816
2,-1126,-326,4070556816
3,-913,163,4070556816
4,-759,374,4070556816
5,-653,247,4070556816
6,27,1184,4070556816
7,-919,1204,4070556816
8,-1137,1498,4070556816
9,-1180,1338,4070556816
10,-948,1542,4070556816
11,-1906,559,4070556816
12,-461,558,4070556816
13,-186,525,4070556816
14,-4,-36,4070556816
15,-62,518,4070556816
16,-124,554,4070556816
17,1420,2534,4070556816
18,443,2148,4070556816
19,802,2634,4070556816
20,729,3534,4070556816
21,638,3414,4070556816
22,1322,3206,4070556816
23,2531,5353,4070556816
24,2542,4768,4070556816
25,3197,6028,4070556816
26,5969,11585,4070556816
27,10143,13762,4070556816
28,9671,14338,4070556816
29,10518,16671,4070556816
30,11563,17323,4070556816
31,11872,19392,4070556816
32,12594,19099,4070556816
33,13305,21786,4070556816
34,14458,23602,4070556816
35,15066,24692,4070556816
36,16655,27921,4070556816
