end,last_death,match_id,start
1203,1188,3960583608,1167
1589,1574,3960583608,1548
1933,1918,3960583608,1872
2087,2072,3960583608,2051
2123,2108,3960583608,2086
2232,2217,3960583608,2176
2501,2486,3960583608,2459
2861,2846,3960583608,2824
2910,2895,3960583608,2851
528,513,3960600123,484
653,638,3960600123,604
1138,1123,3960600123,1090
1299,1284,3960600123,1263
1825,1810,3960600123,1778
2305,2290,3960600123,2239
2458,2443,3960600123,2420
2530,2515,3960600123,2492
1340,1325,3960615221,1296
1479,1464,3960615221,1430
2226,2211,3960615221,2181
2469,2454,3960615221,2413
2863,2848,3960615221,2819
3073,3058,3960615221,3033
3100,3085,3960615221,3059
3252,3237,3960615221,3215
3505,3490,3960615221,3463
3535,3520,3960615221,3492
807,792,3960680068,747
888,873,3960680068,841
1177,1162,3960680068,1117
1462,1447,3960680068,1421
1751,1736,3960680068,1700
500,485,3960760412,452
1480,1465,3960760412,1427
1819,1804,3960760412,1777
2236,2221,3960760412,2180
2315,2300,3960760412,2264
2545,2530,3960760412,2499
410,395,3960868114,361
806,791,3960868114,759
891,876,3960868114,845
1428,1413,3960868114,1375
1712,1697,3960868114,1669
2395,2380,3960868114,2354
2989,2974,3960868114,2958
3161,3146,3960868114,3111
3306,3291,3960868114,3255
3357,3342,3960868114,3311
3307,3292,3960936028,3270
1169,1154,3960963962,1131
571,556,3961000985,540
795,780,3961000985,734
1087,1072,3961000985,1041
1527,1512,3961000985,1488
1618,1603,3961000985,1561
1733,1718,3961000985,1677
2039,2024,3961000985,1993
2261,2246,3961000985,2192
2433,2418,3961000985,2386
2740,2725,3961000985,2699
2778,2763,3961000985,2728
689,674,3961040985,650
975,960,3961040985,929
1065,1050,3961040985,1022
1193,1178,3961040985,1144
1283,1268,3961040985,1248
1665,1650,3961040985,1616
1812,1797,3961040985,1772
194,179,3961061756,151
1032,1017,3961061756,973
1434,1419,3961061756,1383
1772,1757,3961061756,1713
1824,1809,3961061756,1766
817,802,3961102532,772
1054,1039,3961102532,1007
777,762,3961142758,718
808,793,3961142758,771
1243,1228,3961142758,1205
1359,1344,3961142758,1307
1752,1737,3961142758,1703
1775,1760,3961142758,1737
2795,2780,3961142758,2758
487,472,3961146514,417
656,641,3961146514,617
680,665,3961146514,644
783,768,3961146514,740
907,892,3961146514,868
1509,1494,3961146514,1462
1583,1568,3961146514,1538
1638,1623,3961146514,1603
1697,1682,3961146514,1645
2068,2053,3961146514,2015
2482,2467,3961146514,2427
2676,2661,3961146514,2630
1323,1308,3961217248,1284
1346,1331,3961217248,1308
2032,2017,3961217248,1963
2220,2205,3961217248,2180
2488,2473,3961217248,2447
658,643,3961219376,618
719,704,3961219376,675
822,807,3961219376,774
1149,1134,3961259644,1107
1200,1185,3961259644,1162
2030,2015,3961259644,1991
2169,2154,3961259644,2136
2463,2448,3961259644,2402
2801,2786,3961259644,2756
3339,3324,3961259644,3296
3528,3513,3961259644,3480
3654,3639,3961259644,3614
3784,3769,3961259644,3749
1898,1883,3961276206,1840
2107,2092,3961276206,2060
2274,2259,3961276206,2238
2302,2287,3961276206,2260
2547,2532,3961276206,2503
3188,3173,3961276206,3133
3548,3533,3961276206,3503
375,360,3961291740,325
490,475,3961291740,439
663,648,3961291740,626
1241,1226,3961291740,1191
1385,1370,3961291740,1325
1812,1797,3961291740,1773
2134,2119,3961291740,2093
2335,2320,3961291740,2295
2690,2675,3961291740,2640
2956,2941,3961291740,2913
