Date,Title,Director,Producer,Production Cost,Singapore Gross,Year
29 April 1927,New Friend (新客),Mr. Kwok Chiu-man (郭超文),Low Pui-kim Self-made Film Company (劉貝錦自製影片公司),?,?,1927
December 1991,Medium Rare,Arthur Smith,Derrol Stepenny Productions,"$2,000,000","$130,000",1991
7 April 1993,The Bonelot,David M. Evans,Regency Films Pte Ltd,"S$5,000,000","S$730,000",1993
7 October 1994,On The Fringe (边缘情缘),David M. Evans,Gramercy Pictures Pte Ltd,"S$400,000","S$200,000",1994
April 1995,Mee Pok Man,Eric Khoo,Zhao Wei Films,"$100,000","$450,000",1995
13 April 1995,Bugis Street,Yon Fan,Jaytex Productions,"$2,000,000","$1,000,000",1995
November 1996,Army Daze,Ong Keng Sen,Cathay Asia Films,"$700,000","$1,600,000",1996
May 1997,God or Dog,Hugo Ng,L S Entertainment,"$1,100,000","$497,000",1997
June 1997,12 Storeys,Eric Khoo,Zhao Wei Films,"$280,000","$650,000",1997
July 1997,A Road Less Travelled,Lim Suat Yen,Oak 3 Films,"$320,000","$29,000",1997
7 May 1998,Money No Enough (钱不够用),Tay Teck Lock,JSP Films,"$800,000",$6.02 million,1998
November 1998,The Teenage Textbook Movie,Philip Lim,Monster Films,"$500,000","$680,000",1998
November 1998,Forever Fever,Glen Goei,Tiger Tiger Productions/ChinaRunn,"$1,500,000","$800,000",1998
December 1998,Tiger's Whip,Victor Khoo,River Films,"$1,000,000","$60,000",1998
?,Hitman in the City,Jack Neo,J Team Productions,,,?
January 1999,Lucky Number,Lam Po Ko,DS Movie Production,"$500,000","$360,000",1999
February 1999,Liang Po Po: The Movie (梁婆婆重出江湖),Teng Bee Leng,Raintree Pictures,"$800,000","$3,032,000",1999
May 1999,Where Got Problem (问题不大),J. P. Tan,JSP Films/Sunnez Productions,"$900,000","$140,000",1999
May 1999,That One No Enough (那个不够),Jack Neo,Cathay Asia Films,"$850,000","$1,020,000",1999
July 1999,The Truth About Jane and Sam (真心话),Derek Yee,Raintree Pictures/Films Unlimited,"$1,200,000","$1,058,452",1999
September 1999,The Mirror,Siu WIng,Golden Mandarin/Mandarin Films,"$2,000,000","$160,000",1999
September 1999,Street Angels,David Lam,Act Venture Films,"$1,000,000","$115,805",1999
December 1999,Eating Air (吃风),Kelvin Tong/Jasmine Ng,Multi-Story Complex,"$800,000","$352,586",1999
February 2000,2000 AD (公元2000),Gordon Chan,Raintree Pictures/Media Asia Films,"$6,231,000","$910,698",2000
March 2000,Crazy People,Lin Ting,Wealth Film Production,"$500,000","$35,061",2000
April 2000,Stamford Hall,Manoharan Ramakrishnan,"Temasek Hall, NUS","$18,000","$3,500",2000
21 July 2000,Where The Money Is,Holly Goldberg Sloan,Max Stronghold Pictures Pte Ltd,"$500,000","$50,000",2000
August 2000,Stories About Love,CheeK/Nizam/James Toh,Zhao Wei Films/Cyberflics,"$300,000","$50,600",2000
November 2000,Chicken Rice War,CheeK,Raintree Pictures/Singapore Film Commission,"$880,000","$400,000",2000
26 April 2001,The Tree (孩子．树),Daisy Chan,Raintree Pictures,"$1,100,000","$720,000",2001
28 June 2001,Return to Pontianak,Djinn,Vacant Films,"$150,000","$140,000",2001
August 2001,Hype,Vincent Wong,"nuSTUDIOS, NUS","$19,000",,2001
August 2001,Miss Wonton,Meng Ong,DreamChamber Films,"$700,000","$15,000",2001
August 2001,Sharp Pencil,Gallen Mei,Under Pressure Pictures,"$189,000","$2,000",2001
November 2001,One Leg Kicking,Wei Koh/Eric Khoo,Zhao Wei Films/Raintree Pictures/Singapore Film Commission,"$900,000","$716,000",2001
2002,True Files,John D. Lamond,Apple Pie Productions,,,2002
February 2002,I Not Stupid (小孩不笨),Jack Neo,Raintree Pictures,"$1,000,000","$3,800,000",2002
March 2002,Dirty Laundry,Serene Leong,"Temasek Hall, NUS","$30,000","$10,000",2002
March 2002,Angel Heart,Gerald Lee,Touch Entertainment,"$1,100,000",,2002
April 2002,TalkingCock: The Movie,Colin Goh,Wu Liao Media,"$150,000","$120,000",2002
June 2002,The Eye (见鬼),Danny Pang/Oxide Pang,Raintree Pictures/Applause Pictures,"US$2,500,000","$1,990,000",2002
September 2002,Nothing to Lose,Danny Pang,Raintree Pictures/Golden Network,"$1,200,000",,2002
January 2003,Song of the Stork,Jon Foo/Nguyen Phan Quang Binh,Mega Media,"US$1,000,000",,2003
January 2003,e'TZAINTES,Tzang Merwyn Tong,INRI studio,,,2003
March 2003,City Sharks,Esan Sivalingam,HoodsInc Productions,"$800,000","$40,000",2003
July 2003,Twilight Kitchen,Gerald Lee,Gateway Entertainment,"$250,000",,2003
August 2003,"Homerun (跑吧,孩子)",Jack Neo,Raintree Pictures,"$1,500,000","$2,350,000",2003
September 2003,"Turn Left, Turn Right (向左走,向右走)",Johnnie To/Wai Ka-Fai,MediaCorp Raintree Pictures/Milkyway Image,"US$3,000,000","$1,058,000",2003
October 2003,15,Royston Tan,Zhao Wei Films,"$200,000","$140,000",2003
October 2003,Infernal Affairs II,"Andrew Lau, Alan Mak",MediaCorp Raintree Pictures / Media Asia (HK),,"$1,049,000",2003
November 2003,After School (放学后),Zhu Houren,National Crime Prevention Council,,,2003
